complex_id,complex_nm,trains,station_ct,bcode,stop_lat,stop_lon,tot2007,tot2008,tot2009,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,tot2019,avwkdy07,avwkdy08,avwkdy09,avwkdy10,avwkdy11,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,avwkdy19,avwken07,avwken08,avwken09,avwken10,avwken11,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18,avwken19,srv_notes
bx048,Morris Park,5,1,36005,40.854364,-73.860495,550547,570262,524382,535823,554320,589170,631930,621945,629282,677899,685577,668423,711229,1885,1957,1873,1871,1966,2083,2210,2253,2319,2487,2527,2417,2520,1299,1291,848,1096,994,1255,1268,874,679,779,802,955,1266,
bx049,Morrison Av-Soundview,6,1,36005,40.829521,-73.874516,1879569,2025425,1982168,730517,3028145,2057570,2096942,2125383,2097203,2135920,2125767,1988053,1970185,5956,6352,6225,2304,9603,6582,6588,6669,6628,6755,6742,6361,6341,6627,7339,7226,2560,10882,7494,7664,7810,7447,7520,7540,6748,6499,x
bx050,Mosholu Pkwy,4,1,36005,40.87975,-73.884655,2155241,2539286,2794992,2913786,2961522,2906150,2917501,2886764,2891451,2836370,2695090,2531607,2491758,7103,8468,9078,9439,9578,9596,9588,9459,9252,9135,8770,8195,8074,6368,6825,8843,9412,9738,9261,8681,8721,9816,9256,8527,8164,7993,x
bx051,Mt Eden Av,4,1,36005,40.844434,-73.914685,1538588,1607256,1766092,1843698,1814951,1818870,1848483,1824861,1844131,1824478,1708790,1652407,1551038,4937,5174,5615,5848,5748,5859,5995,5891,5817,5770,5512,5337,5009,5148,5184,6128,6495,6519,6444,5851,5899,6623,6435,5612,5360,5040,
bx052,Nereid Av,2 5,1,36005,40.898379,-73.854376,857763,929559,924584,1001851,1025004,1086227,1195804,1183733,1162973,1131328,1085289,1034335,1006617,2840,3107,3080,3307,3420,3603,3878,3850,3817,3753,3631,3437,3394,2478,2473,2557,2941,2849,3396,3841,3725,3501,3188,2933,2923,2593,
bx053,Norwood-205 St,D ,1,36005,40.874811,-73.878855,2382795,2493009,2308963,2410949,2472094,2463462,2569581,2709761,2750124,2805984,2723506,2611874,2639003,7626,7869,7588,7602,7779,7872,8043,8466,8640,8897,8751,8429,8544,8087,8823,6792,8706,9120,9025,9562,10155,10070,9797,9127,8534,8474,
bx054,Parkchester,6,1,36005,40.833226,-73.860816,4605514,4720570,4691478,3944729,4851182,4687402,5215409,5586943,5224959,5201901,5071740,4836244,4734709,14708,15189,14978,12724,15516,15190,16614,17746,16572,16561,16310,15660,15427,15830,15370,16076,12886,16757,16260,18063,19613,18457,17932,17051,15597,14771,x
bx055,Pelham Bay Park,6,1,36005,40.852462,-73.828121,1836334,1931973,1946139,1997392,2062525,2030215,2096130,2318533,2337689,2208725,2207720,2146552,2134403,6010,6262,6299,6538,6705,6688,6772,7442,7432,7213,7185,7001,7020,5584,6023,6193,6039,6571,6516,6804,7778,8134,6733,6991,6675,6353,
bx056,Pelham Pkwy,2 5,1,36005,40.857192,-73.867615,2313926,2514944,2585393,2703568,2701431,2882651,3028494,3084862,3066190,2955589,2849210,2639586,2651208,7373,8116,8287,8691,8850,9288,9614,9688,9774,9441,9173,8472,8463,8016,8048,8656,9007,8269,10246,10637,11322,10586,10022,9452,8836,9101,
bx057,Pelham Pkwy,5,1,36005,40.858985,-73.855359,840151,870544,832968,883490,897433,923188,919689,907735,894727,897374,869177,844884,896134,2950,3054,3011,3139,3236,3314,3254,3304,3303,3332,3237,3083,3225,1648,1659,1196,1567,1361,1746,1673,1210,944,858,866,1084,1369,
bx058,Prospect Av,2 5,1,36005,40.819585,-73.90177,2208977,2335593,2282752,2326054,2209945,2125066,2311798,2445131,2394820,2513169,2413743,2142697,2148059,7064,7457,7291,7551,7212,7053,7424,7857,7908,8004,7704,7038,6936,7527,7853,7766,7440,6950,6521,7683,8085,6935,8587,8324,6381,6973,
bx059,Simpson St,2 5,1,36005,40.824073,-73.893064,2816132,2974529,2874093,3057192,2901513,2810789,3027856,3121036,3048014,3046838,2965807,2585974,2602749,8851,9375,9095,9815,9421,9243,9672,9948,9981,9680,9446,8477,8257,10322,10570,10148,10279,9372,9045,10310,10690,9234,10504,10334,7792,9164,
bx060,St Lawrence Av,6,1,36005,40.831509,-73.867618,1212190,1297041,1284770,1655340,463809,1212796,1280074,1315456,1320571,1329758,1334387,1273609,1276865,3810,4036,4016,5093,1427,3852,3995,4099,4185,4187,4196,4040,4077,4421,4852,4782,6624,1780,4537,4805,4970,4633,4776,4898,4482,4365,x
bx061,Tremont Av,B D,1,36005,40.85041,-73.905227,2769024,2811145,2702043,2709632,2772602,2791329,2952385,3130848,3155197,3213396,3154608,3246064,3052099,8767,8842,8542,8513,8767,8882,9157,9727,9980,10246,10055,10398,9769,9830,10074,9596,9896,9987,10412,11386,12001,11209,10921,10962,10951,10314,
bx062,Van Cortlandt Park-242 St,1,1,36005,40.889248,-73.898583,1829242,1974147,1925846,1878788,1937333,2041551,2148667,2188428,2266986,2294482,2249314,2333136,2189109,5758,6184,6040,6148,6504,6641,6943,7107,7338,7431,7396,7742,7330,6673,7229,7098,5688,5173,6968,6966,6927,7302,7317,6865,6728,5894,
bx063,Wakefield-241 St,2,1,36005,40.903125,-73.85062,1272043,1344876,1340643,1471501,1560698,1603076,1528793,1669608,1654707,1662337,1578125,1484478,1404748,4002,4257,4212,4582,4955,5048,4825,5168,5186,5213,5129,4763,4538,4624,4667,4862,5553,5508,6195,5443,6451,6094,6069,5027,4954,4534,x
bx064,West Farms Sq-East Tremont Av,2 5,1,36005,40.840295,-73.880049,2266956,2366256,2314557,2520377,2391352,2428999,2514240,2567773,2437882,2465907,2388659,2094751,2104945,7050,7348,7270,8052,7749,7842,7979,8170,8010,7848,7657,6866,6741,8595,8884,8401,8673,7785,8494,8803,8875,7230,8447,8074,6283,7097,
bx065,Westchester Sq-East Tremont Av,6,1,36005,40.839892,-73.842952,1791258,1883509,1828155,1885522,1993343,1964525,2043649,2177402,2056555,1952473,1917007,1817925,1796415,6095,6322,6178,6359,6663,6663,6820,7351,6912,6635,6479,6097,6113,4425,4939,4686,4949,5557,5512,5674,5619,5464,4784,4999,4903,4435,
bx066,Whitlock Av,6,1,36005,40.826525,-73.886283,459855,475282,480146,163461,726747,524988,534489,543798,545079,571352,595385,592103,586845,1507,1524,1528,524,2342,1691,1685,1707,1737,1830,1905,1894,1907,1390,1568,1659,536,2422,1857,1933,2002,1864,1913,2035,2013,1850,x
bx067,Woodlawn,4,1,36005,40.886037,-73.878751,1963703,2051564,2194906,2379276,2494092,2417765,2423278,2375663,2418890,2380900,2242100,2160859,2094285,6318,6723,6980,7513,7852,7797,7776,7683,7637,7623,7260,6937,6680,6579,6066,7632,8589,9240,8577,8125,7686,8724,8010,7271,7251,7255,
bx068,Zerega Av,6,1,36005,40.836488,-73.847036,688598,736708,713198,759280,825755,849815,985388,599478,492883,784314,799739,792928,795756,2335,2455,2404,2539,2741,2849,3253,2012,1647,2629,2664,2629,2676,1738,2007,1842,2081,2380,2523,2885,1576,1327,2080,2253,2274,2100,x
bk001,15 St-Prospect Park,F G,1,36047,40.660365,-73.979493,1848820,1849326,1844403,1922348,1449241,1852346,2005424,2017347,2011237,1958444,1917454,1867619,1964534,6006,6002,5977,6220,4725,6018,6448,6495,6385,6342,6272,6136,6324,5872,5763,5885,6219,4529,6358,6658,6651,7103,6272,5968,5622,6526,x
bk002,18 Av,D ,1,36047,40.607954,-74.001736,1653638,1792316,1740190,1752952,1654305,1661770,1954729,1996205,1925239,2003777,1948610,1909554,1942617,5267,5667,5611,5699,5516,5544,6162,6326,6242,6413,6196,6136,6218,5731,6290,5656,5480,4498,4960,7057,7032,6073,6681,6807,6328,6534,x
bk003,18 Av,F ,1,36047,40.629755,-73.976971,1288783,1311236,1258172,1287551,1306839,1294568,1313344,1277024,1392552,1344286,1281041,1163390,1113492,4127,4209,4008,4145,4205,4220,4204,4050,4458,4440,4318,3947,3667,4326,4267,4297,4193,4347,4328,4398,4465,4663,3787,3271,2807,3280,
bk004,18 Av,N ,1,36047,40.620671,-73.990414,1451716,1614019,1717106,1676056,1828462,1819255,1641928,1775695,1784992,723187,992834,981261,1179756,4686,5077,5227,5049,5469,5507,5092,5491,5502,2266,3107,3097,3681,4681,5738,7044,7151,8144,8083,6296,6865,6996,2602,3695,3516,4402,x
bk005,20 Av,D ,1,36047,40.604556,-73.998168,1408668,1489652,1419604,1409313,1370001,1377648,1547029,1564060,1592525,1656437,1579804,1534396,1578971,4461,4680,4531,4517,4478,4556,4859,4930,5115,5268,5009,4905,5037,4999,5354,4832,4689,4197,4287,5658,5621,5252,5656,5584,5191,5374,
bk006,20 Av,N ,1,36047,40.61741,-73.985026,1074076,1183329,1253690,1194973,1220065,1245145,1286961,1305487,1279525,409416,664120,1075077,1142086,3634,3923,4108,3903,4011,4091,4190,4277,4223,1348,2139,3514,3692,2714,3293,3794,3702,3682,4060,4026,3946,3701,1176,2194,3286,3669,x
bk007,25 Av,D ,1,36047,40.597704,-73.986829,1354147,1404084,1329003,1328491,1266146,1206526,1421090,1488192,1508412,1992945,1789365,1571134,1507759,4272,4445,4304,4318,4220,4046,4607,4761,4886,6507,5790,5083,4877,4906,4919,4252,4186,3586,3530,4536,5053,4827,6064,5798,5078,4854,
bk008,25 St,R ,1,36047,40.660397,-73.998091,1199657,1223561,1179455,1208827,1243737,1198226,1218842,1274939,1221949,1188884,1373521,1149469,1153842,3786,3859,3736,3812,3915,3820,3821,3959,3847,3788,4547,3755,3738,4331,4350,4182,4384,4597,4430,4500,4895,4434,4071,4012,3555,3703,
bk009,36 St,D N R,1,36047,40.655144,-74.003549,3344295,3567379,3444333,3567832,3659139,3772420,3826400,3970318,4138929,4235509,4543305,4293364,4254406,10578,11151,10852,11135,11411,11946,12059,12497,12810,13180,13894,13493,13342,12022,13234,12538,13595,14140,14459,13945,14553,16290,16191,18871,15943,15917,
bk010,4 Av /9 St,F G R,2,36047,40.670272,-73.989779,3220717,3433636,3494753,3672622,4020665,4300400,4210873,4120946,4199208,4138758,4323467,3906028,3924882,10205,10789,10895,11412,12479,13471,13156,12835,13126,13116,13962,12560,12563,11491,12467,13293,14257,15860,17155,15869,15711,15860,14654,14351,13111,13444,
bk011,45 St,R ,1,36047,40.648939,-74.010006,2285612,2358187,2317470,2284356,2328141,2255877,2251217,2323521,2321241,2228315,2390684,2251921,2461410,7052,7303,7171,7059,7218,7070,6978,7208,7265,7055,7877,7205,7755,8996,8989,8983,8903,9108,8898,8689,8938,8620,7805,7054,7643,8908,
bk012,50 St,D ,1,36047,40.63626,-73.994791,1002804,1008658,944314,942902,897609,941157,1021409,1009971,968612,1012356,986060,965643,976988,3269,3279,3130,3129,3008,3172,3308,3289,3220,3336,3236,3195,3246,3081,3072,2630,2623,2373,2648,3233,3102,2672,2902,2934,2733,2686,
bk013,53 St,R ,1,36047,40.645069,-74.014034,2416483,2453450,2382707,2370851,2401105,2357449,2387370,2405353,2374338,2334471,1187907,2378056,2797730,7516,7648,7460,7423,7533,7476,7479,7512,7458,7386,3788,7565,8812,9226,9115,8827,8804,8957,8897,8842,9007,8678,8148,4009,8258,10117,x
bk014,55 St,D ,1,36047,40.631435,-73.995476,622180,627136,577138,580913,586282,546080,601931,603320,595157,665488,632198,650590,637405,2018,2046,1925,1944,1983,1859,1964,1981,2002,2223,2106,2185,2141,1952,1870,1547,1525,1460,1445,1824,1767,1525,1758,1729,1681,1634,
bk015,59 St,N R,1,36047,40.641362,-74.017881,3705952,3833772,3736347,3867990,3819141,3848745,3968334,4094658,4158863,4169280,5326789,3998207,3664480,11586,12020,11756,11979,11999,12317,12506,12871,13048,13144,16759,12301,11240,13875,13937,13584,15083,14213,14029,14372,14966,15344,14917,19650,15980,14830,
bk016,7 Av,B Q,1,36047,40.67705,-73.972367,2919809,3071778,3014532,3064214,2953368,2824839,2905400,2932926,2980366,2943272,3236816,3126475,3103599,9093,9590,9568,9614,9615,9408,9389,9495,9641,9731,10270,10210,10209,11176,11461,10636,11485,9430,8739,9483,9492,9731,8581,11619,9720,9335,
bk017,7 Av,F G,1,36047,40.666271,-73.980305,3507448,3451277,3316537,3397045,3934545,3699471,3904986,3886594,3780126,3700321,3623053,3572223,3675218,10999,10903,10643,11018,12792,12118,12268,12242,12049,11897,11801,11636,11880,13074,12268,11139,10928,12705,12271,14456,14246,13202,12325,11570,11300,12067,
bk018,71 St,D ,1,36047,40.619589,-73.998864,1384920,1434010,1308071,1332009,1115321,1191257,1446020,1481633,1487929,2029479,1854361,1746966,1722921,4378,4538,4270,4365,3740,4007,4538,4682,4802,6501,5905,5607,5499,4961,5023,4003,3986,2895,3398,5314,5271,4808,6732,6434,5811,5866,x
bk019,77 St,R ,1,36047,40.629742,-74.02551,1503433,1584765,1539875,1545617,1579635,1600644,1645262,1711410,1723178,1743795,1980011,1676402,1674582,4960,5236,5080,5146,5228,5306,5353,5548,5608,5720,6746,5612,5595,4442,4539,4528,4336,4630,5040,5208,5509,5448,5247,4881,4553,4584,
bk020,79 St,D ,1,36047,40.613501,-74.00061,1730863,1781752,1694385,1728820,1633616,1651785,1949861,2041896,2043471,2137349,2032937,1901043,1926290,5659,5775,5577,5733,5554,5612,6293,6617,6755,6973,6565,6177,6225,5322,5600,4986,4891,4075,4500,6358,6504,5856,6494,6630,5956,6180,
bk021,8 Av,N ,1,36047,40.635064,-74.011719,2943759,3196930,3384130,3475890,3484429,3559576,3677764,3851372,3796909,4586559,4088721,3700661,3801700,8956,9594,9987,10215,10480,10613,10873,11341,11430,14201,12514,11474,11608,11986,13462,15232,15854,14903,16292,16484,17434,15960,17252,16278,14040,15213,
bk022,86 St,N ,1,36047,40.592721,-73.97823,619906,684815,736775,770621,796379,811332,801109,837472,859293,419039,494456,609555,708542,2016,2194,2307,2389,2491,2552,2515,2622,2718,1298,1534,1928,2224,1943,2250,2719,2973,3017,3159,2934,3090,3023,1578,1900,2165,2580,x
bk023,86 St,R ,1,36047,40.622687,-74.028398,3226321,3343893,3274415,3306164,3445470,3515085,3662602,3753132,3747601,3752400,3516712,3470741,3434888,10263,10659,10457,10710,11076,11313,11648,11920,11963,12078,11742,11338,11233,11318,11393,11244,10613,11655,12582,12819,13178,12889,12263,9662,10657,10441,
bk024,9 Av,D ,1,36047,40.646292,-73.994324,1861608,1968068,1873361,1863019,1681423,1668767,1896942,1938987,1843944,1858368,1737192,1667200,1708387,5815,6152,5945,5955,5533,5440,5857,6004,5856,5867,5471,5344,5406,6936,7188,6499,6250,4906,5531,7383,7466,6372,6541,6297,5560,6029,
bk025,Alabama Av,J ,1,36047,40.676992,-73.898654,605337,675258,683329,712714,759581,772447,770075,784998,814578,834945,755935,652030,628299,1906,2119,2153,2271,2387,2464,2443,2448,2520,2585,2424,2147,2089,2189,2431,2453,2468,2818,2844,2687,2948,3163,3206,2540,1930,1768,
bk027,Atlantic Av,L ,1,36047,40.675345,-73.903097,339874,386672,395884,424208,427914,444960,482835,535041,422505,436300,557103,559411,469819,1144,1284,1319,1385,1440,1487,1580,1725,1384,1455,1821,1842,1593,884,1067,1082,1299,1124,1326,1474,1752,1267,1179,1728,1647,1165,x
bk026,Atlantic Av-Barclays Ctr,B D N Q R 2 3 4 5,3,36047,40.684359,-73.977666,9643487,10121151,10039490,10478354,10726332,11526090,13122876,13617153,13690678,13818168,13571093,13807282,13939794,30224,31657,31408,32497,33160,35670,39871,41645,42231,42711,42095,43211,43498,35991,37407,37627,40722,42885,47970,54754,55601,54221,53638,53133,51838,53013,
bk028,Avenue H,Q ,1,36047,40.62927,-73.961639,850208,887650,819739,662564,521818,823237,875106,896279,899662,952855,1006747,1034018,991766,2695,2820,2697,2174,1724,2714,2861,2961,2994,3183,3329,3418,3354,3007,3045,2401,2016,1522,2632,2669,2584,2506,2590,2948,3000,2502,x
bk029,Avenue I,F ,1,36047,40.625322,-73.976127,736191,741356,725876,708788,696851,684241,699582,696140,672710,585217,326469,326005,584129,2414,2422,2370,2328,2290,2284,2283,2250,2235,1962,1111,1096,1988,2207,2218,2218,2108,2100,2046,2146,2236,1874,1529,783,835,1411,x
bk030,Avenue J,Q ,1,36047,40.625039,-73.960803,1973706,2031548,1886881,2059453,2085557,1807574,1867576,1850087,1848674,1867727,1912497,1878547,1775846,6335,6506,6237,6742,6860,5974,6036,6060,6009,6136,6154,6058,5826,6568,6704,5372,6220,6234,5679,5994,5528,5782,5524,6327,6098,5261,
