,complex_id,centrality
0,95,0.015218511647083075
1,96,0.0
2,165,0.00012265512265512263
3,618,0.0005555555555555554
4,445,0.0
5,446,0.0017109874252731396
6,309,0.003401360544217687
7,310,0.00590599876314162
8,438,0.008410636982065553
9,603,0.061091805649628746
10,32,0.0774582560296846
11,33,0.07619047619047618
12,276,0.0045746826869275834
13,612,0.005188072824127245
14,426,0.0191713048855906
15,427,0.020634920634920634
16,329,3.951075379646808e-05
17,635,0.0006357784488582249
18,318,0.002207522258542665
19,319,0.0005274562927624145
20,90,0.04424860853432282
21,91,0.0
22,228,0.0002315562194968503
23,607,0.0020513711190891146
24,258,0.028896103896103895
25,259,0.020856524427952997
26,129,0.015084518655947227
27,130,0.016981034838177696
28,403,0.0
29,404,0.0017109874252731396
30,294,0.0017109874252731396
31,295,0.003401360544217687
32,378,0.0
33,379,0.0017109874252731396
34,66,0.04308390022675737
35,67,0.04134199134199134
36,205,4.1228612657184085e-05
37,206,6.184291898577613e-05
38,416,0.0
39,417,0.0017109874252731396
40,189,0.012739641311069883
41,190,0.010667903525046383
42,270,0.02141826427540713
43,271,0.02192331478045764
44,369,0.0007421150278293135
45,370,0.0007215007215007215
46,30,0.07993197278911564
47,31,0.07870542156256442
48,216,0.009956709956709957
49,217,0.011544011544011544
50,122,0.006462585034013605
51,123,0.004329004329004329
52,452,0.010667903525046383
53,453,0.012739641311069883
54,108,0.0
55,109,0.0021748093176664606
56,231,0.0
57,619,0.008322208152140124
58,222,0.0017109874252731396
59,223,0.008410636982065553
60,299,0.009956709956709957
61,300,0.011544011544011544
62,418,0.003401360544217687
63,419,0.005071119356833642
64,290,0.05488043702329416
65,291,0.05615852401566687
66,218,0.01311069882498454
67,608,0.10174019102590534
68,387,0.014656771799628942
69,388,0.016182230467944755
70,44,0.005400948258091115
71,47,0.010683364254792826
72,202,2.0614306328592042e-05
73,203,0.0
74,311,2.0614306328592042e-05
75,305,0.0017109874252731396
76,306,0.0
77,52,5.1535765821480104e-05
78,53,0.0010358688930117502
79,409,0.000989699391059935
80,623,0.009742019987845605
81,41,0.0
82,617,0.047861265718408576
83,210,0.0
84,211,0.0017109874252731396
85,287,0.0511698618841476
86,288,0.052365491651205937
87,26,0.016183948326805475
88,636,0.039553700267986
89,420,0.006720263863121006
90,421,0.008348794063079777
91,188,0.01479076479076479
92,133,0.010667903525046383
93,134,0.008575551432694289
94,362,0.0003092145949288806
95,363,0.0004329004329004329
96,298,0.008348794063079777
97,517,0.000494743351886209
98,518,0.00040197897340754483
99,413,0.0017109874252731396
100,628,0.006885178313749742
101,1,0.0
102,2,4.1228612657184085e-05
103,382,0.006720263863121006
104,383,0.008348794063079777
105,94,0.0
106,193,0.004329004329004329
107,194,0.0021748093176664606
108,244,0.016821273964131106
