GEO_ID,NAME,S1810_C01_048E,S1810_C01_049E,S1810_C01_052E
Geography,Geographic Area Name,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population under 18 years,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over
1400000US36005013300,"Census Tract 133, Bronx County, New York",1181,3820,595
1400000US36005013500,"Census Tract 135, Bronx County, New York",793,2064,379
1400000US36005013800,"Census Tract 138, Bronx County, New York",251,1865,537
1400000US36005014100,"Census Tract 141, Bronx County, New York",1126,3781,519
1400000US36005014300,"Census Tract 143, Bronx County, New York",332,1103,114
1400000US36005014400,"Census Tract 144, Bronx County, New York",1158,2806,1079
1400000US36005014500,"Census Tract 145, Bronx County, New York",1619,4212,495
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",1057,4307,411
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",1103,3162,678
1400000US36005014900,"Census Tract 149, Bronx County, New York",1214,2461,384
1400000US36005015100,"Census Tract 151, Bronx County, New York",886,3312,504
1400000US36005015200,"Census Tract 152, Bronx County, New York",456,1636,375
1400000US36005015300,"Census Tract 153, Bronx County, New York",902,2674,358
1400000US36005015500,"Census Tract 155, Bronx County, New York",490,1915,187
1400000US36005015700,"Census Tract 157, Bronx County, New York",930,2875,749
1400000US36005015800,"Census Tract 158, Bronx County, New York",240,766,186
1400000US36005015900,"Census Tract 159, Bronx County, New York",317,1377,382
1400000US36005016000,"Census Tract 160, Bronx County, New York",472,2546,705
1400000US36005016100,"Census Tract 161, Bronx County, New York",830,2693,739
1400000US36005016200,"Census Tract 162, Bronx County, New York",257,1055,177
1400000US36005016300,"Census Tract 163, Bronx County, New York",0,0,0
1400000US36005016400,"Census Tract 164, Bronx County, New York",119,548,273
1400000US36005016500,"Census Tract 165, Bronx County, New York",234,651,32
1400000US36005016600,"Census Tract 166, Bronx County, New York",375,1410,247
1400000US36005016700,"Census Tract 167, Bronx County, New York",881,2120,205
1400000US36005016900,"Census Tract 169, Bronx County, New York",330,1079,139
1400000US36005017100,"Census Tract 171, Bronx County, New York",0,0,0
1400000US36005017300,"Census Tract 173, Bronx County, New York",1126,3687,1011
1400000US36005017500,"Census Tract 175, Bronx County, New York",909,4234,971
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",593,2633,309
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",1071,3246,538
