system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,Status_descriptions,primary_address_line_1,lon,lat
32K551,K551,New York Harbor School,DOE,Career Technical,High school,Closed,400 IRVING AVENUE,-73.911751,40.696457
32K552,K552,The Academy of Urban Planning and Engineering,DOE,General Academic,High school,Open,400 IRVING AVENUE,-73.911751,40.696457
13K553,K553,Brooklyn Academy High School,DOE,Transfer School,High school,Open,832 MARCY AVENUE,-73.947873,40.684654
32K554,K554,All City Leadership Secondary School,DOE,General Academic,Secondary School,Open,321 PALMETTO STREET,-73.913172,40.697378
22K555,K555,Brooklyn College Academy,DOE,General Academic,High school,Open,350 CONEY ISLAND AVENUE,-73.972312,40.649055
32K556,K556,Bushwick Leaders High School for Academic Excellen,DOE,General Academic,High school,Open,797 BUSHWICK AVENUE,-73.927349,40.695436
19K557,K557,Brooklyn Gardens Elementary School,DOE,General Academic,Elementary,Open,574 DUMONT AVENUE,-73.897604,40.665446
14K558,K558,Williamsburg High School for Architecture and Desi,DOE,Career Technical,High school,Open,257 NORTH  6 STREET,-73.954815,40.715561
21K559,K559,Life Academy High School for Film and Music,DOE,General Academic,High school,Open,2630 BENSON AVENUE,-73.986313,40.593028
14K561,K561,Williamsburg Preparatory School,DOE,General Academic,High school,Open,257 NORTH  6 STREET,-73.954815,40.715561
32K562,K562,Evergreen Middle School for Urban Exploration,DOE,General Academic,Junior High-Intermediate-Middle,Open,125 COVERT STREET,-73.910589,40.688647
18K563,K563,It Takes a Village Academy,DOE,General Academic,High school,Open,5800 TILDEN AVENUE,-73.922212,40.647728
32K564,K564,Bushwick Community High School,DOE,Transfer School,High school,Open,231 PALMETTO STREET,-73.915217,40.695875
18K566,K566,Brooklyn Community High School for Excellence and,DOE,General Academic,High school,Open,6565 FLATLANDS AVENUE,-73.916927,40.634451
18K567,K567,Brooklyn Theatre Arts High School,DOE,General Academic,High school,Open,6565 FLATLANDS AVENUE,-73.916927,40.634451
17K568,K568,Brownsville Academy High School,DOE,Transfer School,High school,Open,1150 EAST NEW YORK AVENUE,-73.923881,40.666251
18K569,K569,Kurt Hahn Expeditionary Learning School,DOE,General Academic,High school,Open,5800 TILDEN AVENUE,-73.922212,40.647728
13K571,K571,M.S. 571,DOE,General Academic,Junior High-Intermediate-Middle,Closed,80 UNDERHILL AVENUE,-73.966333,40.678554
21K572,K572,Leaders High School,DOE,General Academic,High school,Open,2630 BENSON AVENUE,-73.986313,40.593028
14K574,K574,Upper Academy At Ps 23,DOE,General Academic,Junior High-Intermediate-Middle,Closed,545 WILLOUGHBY AVENUE,-73.9476,40.6941
13K575,K575,Bedford Stuyvesant Preparatory High School,DOE,Transfer School,High school,Closed,832 MARCY AVENUE,-73.947873,40.684654
18K576,K576,Victory Collegiate High School,DOE,General Academic,High school,Open,6565 FLATLANDS AVENUE,-73.916927,40.634451
14K577,K577,Conselyea Preparatory School,DOE,General Academic,Junior High-Intermediate-Middle,Open,208 NORTH  5 STREET,-73.9573,40.715268
18K578,K578,Brooklyn Bridge Academy,DOE,Transfer School,High school,Open,6565 FLATLANDS AVENUE,-73.916927,40.634451
14K579,K579,Upper Academy At Ps 147,DOE,General Academic,Junior High-Intermediate-Middle,Closed,325 BUSHWICK AVENUE,-73.9394,40.7052
79K580,K580,Literacy Center - Brooklyn,DOE,Alternative,High school,Closed,832 MARCY AVENUE,-73.9472,40.685
18K581,K581,"The Middle School of Media, Law and Fine Arts",DOE,General Academic,Junior High-Intermediate-Middle,Open,905 WINTHROP STREET,-73.928744,40.659088
14K582,K582,M.S. 582,DOE,General Academic,Junior High-Intermediate-Middle,Open,207 BUSHWICK AVENUE,-73.939385,40.708804
19K583,K583,Multicultural High School,DOE,General Academic,High school,Open,999 JAMAICA AVENUE,-73.869305,40.693002
16K584,K584,M.S. 584,DOE,General Academic,Junior High-Intermediate-Middle,Closed,130 ROCHESTER AVENUE,-73.928673,40.674491
22K585,K585,Brooklyn Comprehensive Night High School,DOE,General Academic,High school,Closed,6565 FLATLANDS AVENUE,-73.9167,40.6333
14K586,K586,Lyons Community School,DOE,General Academic,Secondary School,Open,223 GRAHAM AVENUE,-73.944463,40.709765
17K587,K587,Middle School for the Arts,DOE,General Academic,Junior High-Intermediate-Middle,Closed,790 EAST NEW YORK AVENUE,-73.936313,40.662092
18K588,K588,Middle School for Art and Philosophy,DOE,General Academic,Junior High-Intermediate-Middle,Open,1084 LENOX ROAD,-73.919818,40.657712
18K589,K589,Arts & Media Preparatory Academy,DOE,General Academic,High school,Closed,905 WINTHROP STREET,-73.928744,40.659088
17K590,K590,Medgar Evers College Preparatory School,DOE,General Academic,Secondary School,Open,1186 CARROLL STREET,-73.951823,40.66679
15K592,K592,Khalil Gibran International Academy,DOE,General Academic,High school,Open,362 SCHERMERHORN STREET,-73.979829,40.686147
84K593,K593,Excellence Boys Charter School,Charter,General Academic,K-8,Open,239 PATCHEN AVENUE,-73.925851,40.683446
13K594,K594,Gotham Professional Arts Academy,DOE,General Academic,High school,Open,561 GRAND AVENUE,-73.961636,40.678591
13K595,K595,Bedford Academy High School,DOE,General Academic,High school,Open,1119 BEDFORD AVENUE,-73.953692,40.685486
13K596,K596,M.S. 596 Peace Academy,DOE,General Academic,Junior High-Intermediate-Middle,Closed,300 WILLOUGHBY AVENUE,-73.95818,40.692015
18K598,K598,Middle School of Marketing and Legal Studies,DOE,General Academic,Junior High-Intermediate-Middle,Closed,905 WINTHROP STREET,-73.928744,40.659088
23K599,K599,Brooklyn Landmark Elementary School,DOE,General Academic,Elementary,Open,251 MAC DOUGAL STREET,-73.910719,40.680679
17K600,K600,Clara Barton High School,DOE,Career Technical,High school,Open,901 CLASSON AVENUE,-73.960689,40.669805
13K605,K605,George Westinghouse Career and Technical Education,DOE,Career Technical,High school,Open,105 TECH PLACE,-73.986105,40.695444
13K605,K605,George Westinghouse Career and Technical Education,DOE,Career Technical,High school,Open,105 TECH PLACE,-73.986105,40.695444
84K608,K608,Kings Collegiate Charter School,Charter,General Academic,K-12 all grades,Open,1084 LENOX ROAD,-73.919818,40.657712
20K609,K609,Urban Assembly School for Criminal Justice,DOE,General Academic,Secondary School,Open,4200 16 AVENUE,-73.982424,40.6351
14K610,K610,A-Tech High School,DOE,Career Technical,High school,Open,50 BEDFORD AVENUE,-73.953328,40.721448
22K611,K611,Origins High School,DOE,General Academic,High school,Open,3000 AVENUE X,-73.936635,40.593157
79K612,K612,Community Preparatory High School,DOE,Alternative,High school,Closed,40 EAST  29 STREET,-73.9848,40.7444
14K614,K614,Young Women's Leadership School of Brooklyn,DOE,General Academic,Secondary School,Open,325 BUSHWICK AVENUE,-73.93879,40.705005
19K615,K615,Transit Tech Career and Technical Education High S,DOE,Career Technical,High school,Open,1 WELLS STREET,-73.875328,40.67878
13K616,K616,Brooklyn High School for Leadership and Community,DOE,Transfer School,High school,Open,300 WILLOUGHBY AVENUE,-73.95818,40.692015
18K617,K617,High School for Innovation in Advertising and Medi,DOE,Career Technical,High school,Open,1600 ROCKAWAY PARKWAY,-73.898601,40.640543
19K618,K618,Academy of Innovative Technology,DOE,Career Technical,High school,Open,999 JAMAICA AVENUE,-73.869305,40.693002
21K620,K620,William E. Grady Career and Technical Education Hi,DOE,Career Technical,High school,Open,25 BRIGHTON  4TH ROAD,-73.963764,40.583263
17K625,K625,Paul Robeson High School,DOE,General Academic,High school,Closed,150 ALBANY AVENUE,-73.939282,40.675905
84K626,K626,Achievement First Brownsville Charter School,Charter,General Academic,K-12 all grades,Open,2021 BERGEN STREET,-73.912685,40.674456
16K627,K627,Brighter Choice Community School,DOE,General Academic,Elementary,Open,280 HART STREET,-73.941278,40.693654
16K628,K628,Brooklyn Brownstone School,DOE,General Academic,Elementary,Open,272 MACDONOUGH STREET,-73.935891,40.681528
18K629,K629,Cultural Academy for the Arts and Sciences,DOE,General Academic,High school,Open,5800 TILDEN AVENUE,-73.922212,40.647728
22K630,K630,Professional Pathways High School,DOE,Transfer School,High school,Open,3000 AVENUE X,-73.936635,40.593157
23K631,K631,General D. Chappie James Elementary School of Scie,DOE,General Academic,Elementary,Closed,76 RIVERDALE AVENUE,-73.913508,40.659618
14K632,K632,Frances Perkins Academy,DOE,General Academic,High school,Closed,50 BEDFORD AVENUE,-73.953328,40.721448
18K633,K633,High School for Medical Professions,DOE,General Academic,High school,Open,1600 ROCKAWAY PARKWAY,-73.898601,40.640543
23K634,K634,General D. Chappie James Middle School of Science,DOE,General Academic,Junior High-Intermediate-Middle,Closed,76 RIVERDALE AVENUE,-73.913508,40.659618
18K635,K635,Olympus Academy,DOE,Transfer School,High school,Open,755 EAST  100 STREET,-73.898607,40.645965
18K635,K635,Olympus Academy,DOE,Transfer School,High school,Open,755 EAST  100 STREET,-73.898607,40.645965
16K636,K636,Young Scholars' Academy for Discovery and Explorat,DOE,General Academic,Elementary,Closed,280 HART STREET,-73.941278,40.693654
18K637,K637,Academy for Conservation and the Environment,DOE,General Academic,High school,Open,6565 FLATLANDS AVENUE,-73.916927,40.634451
19K639,K639,Brooklyn Lab School,DOE,General Academic,High school,Open,999 JAMAICA AVENUE,-73.869305,40.693002
14K640,K640,Harry Van Arsdale High School,DOE,Career Technical,High school,Closed,257 NORTH  6 STREET,-73.9548,40.7151
18K642,K642,Urban Action Academy,DOE,General Academic,High school,Open,1600 ROCKAWAY PARKWAY,-73.898601,40.640543
23K643,K643,Brooklyn Democracy Academy,DOE,Transfer School,High school,Open,985 ROCKAWAY AVENUE,-73.906662,40.655644
23K644,K644,Eagle Academy for Young Men II,DOE,General Academic,Secondary School,Open,1137 HERKIMER STREET,-73.915106,40.678124
23K645,K645,EBC/ENY High School for Public Safety & Law,DOE,General Academic,High school,Closed,1495 HERKIMER STREET,-73.904143,40.677528
17K646,K646,Aspirations Diploma Plus High School,DOE,Transfer School,High school,Open,402 EASTERN PARKWAY,-73.955188,40.669561
23K647,K647,Metropolitan Diploma Plus High School,DOE,Transfer School,High school,Open,985 ROCKAWAY AVENUE,-73.906662,40.655644
84K648,K648,Bedford Stuyvesant Collegiate Charter School,Charter,General Academic,Secondary School,Open,800 GATES AVENUE,-73.932066,40.68797
84K649,K649,La Cima Charter School,Charter,General Academic,Elementary,Open,800 GATES AVENUE,-73.932066,40.68797
84K651,K651,PAVE Academy Charter School,Charter,General Academic,K-8,Open,732 HENRY STREET,-74.003372,40.675936
84K652,K652,Brooklyn Ascend Charter School,Charter,General Academic,K-12 all grades,Open,205 Rockaway Parkway,-73.92044,40.661945
19K654,K654,Van Siclen Community Middle School,DOE,General Academic,Junior High-Intermediate-Middle,Open,800 VAN SICLEN AVE,-73.885704,40.659934
15K656,K656,Brooklyn High School of the Arts,DOE,General Academic,High school,Open,345 DEAN STREET,-73.980266,40.683951
19K659,K659,Cypress Hills Collegiate Preparatory School,DOE,General Academic,High school,Open,999 JAMAICA AVENUE,-73.869305,40.693002
19K660,K660,W. H. Maxwell Career and Technical Education High,DOE,Career Technical,High school,Open,145 PENNSYLVANIA AVENUE,-73.895976,40.673766
19K661,K661,Vista Academy,DOE,General Academic,Junior High-Intermediate-Middle,Open,350 LINWOOD STREET,-73.884211,40.677112
19K662,K662,Liberty Avenue Middle School,DOE,General Academic,Junior High-Intermediate-Middle,Open,350 LINWOOD STREET,-73.884211,40.677112
19K663,K663,School of the Future Brooklyn,DOE,General Academic,Junior High-Intermediate-Middle,Open,574 DUMONT AVENUE,-73.897604,40.665446
23K664,K664,Brooklyn Environmental Exploration School (BEES),DOE,General Academic,Junior High-Intermediate-Middle,Open,251 MAC DOUGAL STREET,-73.910719,40.680679
15K667,K667,Sunset Park High School,DOE,General Academic,High school,Open,153 35TH STREET,-74.004342,40.655583
23K668,K668,Riverdale Avenue Middle School,DOE,General Academic,Junior High-Intermediate-Middle,Open,76 RIVERDALE AVENUE,-73.913508,40.659618
16K669,K669,Research and Service High School,DOE,Transfer School,High school,Open,1700 FULTON STREET,-73.931604,40.678478
13K670,K670,Benjamin Banneker Academy,DOE,General Academic,High school,Open,71-77 CLINTON AVENUE,-73.968759,40.695389
23K671,K671,Mott Hall Bridges Academy,DOE,General Academic,Junior High-Intermediate-Middle,Open,210 CHESTER STREET,-73.911279,40.666187
16K672,K672,New Eagle Academy at K455,DOE,General Academic,Secondary School,"Initiated, never opened",1700 FULTON STREET,-73.931604,40.678478
18K673,K673,East Brooklyn Community High School,DOE,Transfer School,High school,Open,9517 KINGS HIGHWAY,-73.920658,40.659914
13K674,K674,"City Polytechnic High School of Engineering, Archi",DOE,Career Technical,High school,Open,105 TECH PLACE,-73.986105,40.695444
13K674,K674,"City Polytechnic High School of Engineering, Archi",DOE,Career Technical,High school,Open,105 TECH PLACE,-73.986105,40.695444
15K676,K676,Red Hook Neighborhood School,DOE,General Academic,Elementary,Open,27 HUNTINGTON STREET,-74.005151,40.677914
19K677,K677,East New York Elementary School of Excellence,DOE,General Academic,Elementary,Open,605 SHEPHERD AVENUE,-73.879131,40.669358
19K678,K678,East New York Middle School of Excellence,DOE,General Academic,Junior High-Intermediate-Middle,Open,605 SHEPHERD AVENUE,-73.879131,40.669358
84K680,K680,Achievement First Aspire Charter School,Charter,General Academic,Elementary,Open,982 HEGEMAN AVENUE,-73.876084,40.665817
16K681,K681,Madiba Prep Middle School,DOE,General Academic,Junior High-Intermediate-Middle,Open,1014 LAFAYETTE AVENUE,-73.9317,40.6921
16K681,K681,Madiba Prep Middle School,DOE,General Academic,Junior High-Intermediate-Middle,Open,1014 LAFAYETTE AVENUE,-73.9317,40.6921
20K682,K682,The Academy of Talented Scholars,DOE,General Academic,Elementary,Open,50 AVENUE P,-73.986678,40.606994
19K683,K683,School for Classics High School,DOE,General Academic,High school,Open,370 FOUNTAIN AVENUE,-73.874537,40.67002
15K684,K684,Millennium Brooklyn HS,DOE,General Academic,High school,Open,237 7 AVENUE,-73.97858,40.669255
14K685,K685,El Puente Academy for Peace and Justice,DOE,General Academic,High school,Open,250 HOOPER STREET,-73.955741,40.70554
20K686,K686,Brooklyn School of Inquiry,DOE,General Academic,K-8,Open,50 AVENUE P,-73.986678,40.606994
16K688,K688,The Brooklyn Academy of Global Finance,DOE,General Academic,High school,Open,125 STUYVESANT AVENUE,-73.932254,40.691467
84K689,K689,Citizens of the World Charter School 1 Williamsbur,Charter,General Academic,Elementary,Closed,424 LEONARD STREET,-73.947932,40.719818
21K690,K690,Brooklyn Studio Secondary School,DOE,General Academic,Secondary School,Open,8310 21ST AVENUE,-73.995084,40.60498
13K691,K691,Fort Greene Preparatory Academy,DOE,General Academic,Junior High-Intermediate-Middle,Open,100 CLERMONT AVENUE,-73.971644,40.69453
84K692,K692,Citizens of the World Charter School New York 2 Cr,Charter,General Academic,Elementary,Closed,791 EMPIRE BOULEVARD,-73.935753,40.663964
84K693,K693,Northside Charter High School,Charter,General Academic,High school,Open,424 LEONARD STREET,-73.947932,40.719818
84K694,K694,Believe Southside Charter High School,Charter,General Academic,High school,Closed,424 LEONARD STREET,-73.947932,40.719818
23K697,K697,Teachers Preparatory High School,DOE,General Academic,Secondary School,Open,226 BRISTOL STREET,-73.912102,40.665568
15K698,K698,South Brooklyn Community High School,DOE,Transfer School,High school,Open,173 CONOVER STREET,-74.014363,40.677968
84K701,K701,Brooklyn Charter School,Charter,General Academic,Elementary,Open,545 WILLOUGHBY AVENUE,-73.947256,40.69447
84K702,K702,Community Partnership Charter School,Charter,General Academic,K-8,Open,241 EMERSON PLACE,-73.961134,40.691275
84K703,K703,Beginning With Children Charter School,Charter,General Academic,K-8,Closed,850 KENT AVENUE,-73.959999,40.695397
84K704,K704,Explore Charter School,Charter,General Academic,K-8,Open,655 PARKSIDE AVENUE,-73.951575,40.656423
17K705,K705,Brooklyn Arts and Science Elementary School,DOE,General Academic,Elementary,Open,443 ST MARKS AVENUE,-73.960093,40.6771
84K707,K707,Brooklyn Prospect Charter School,Charter,General Academic,K-12 all grades,Open,3002 FORT HAMILTON PARKWAY,-73.97872,40.647893
84K710,K710,Brownsville Collegiate Charter School,Charter,General Academic,Junior High-Intermediate-Middle,Open,364 SACKMAN STREET,-73.90514,40.668768
84K711,K711,Leadership Preparatory Brownsville Charter School,Charter,General Academic,K-8,Open,985 ROCKAWAY AVENUE,-73.906662,40.655644
84K712,K712,Excellence Girls Charter School,Charter,General Academic,K-12 all grades,Open,794 MONROE STREET,-73.924422,40.6881
75K721,K721,P.S. K721 - Brooklyn Occupational Training Center,DOE,Special Education,High school,Open,64 AVENUE X,-73.981925,40.58807
17K722,K722,New Heights Middle School,DOE,General Academic,Junior High-Intermediate-Middle,Open,790 EAST NEW YORK AVENUE,-73.936313,40.662092
84K724,K724,Leadership Prep Canarsie Charter School (Leadershi,Charter,General Academic,K-8,Open,1070 EAST 104 STREET,-73.892797,40.644134
84K726,K726,Fahari Academy Charter School,Charter,General Academic,Secondary School,Closed,72 VERONICA PLACE,-73.95348,40.648352
21K728,K728,Liberation Diploma Plus,DOE,Transfer School,High school,Open,2865 WEST 19TH STREET,-73.985413,40.576976
84K730,K730,Summit Academy Charter School,Charter,General Academic,Secondary School,Open,27 HUNTINGTON STREET,-74.005151,40.677914
84K731,K731,Brooklyn Excelsior Charter School,Charter,General Academic,K-8,Open,856 QUINCY STREET,-73.925087,40.689569
84K733,K733,"Math, Engineering, and Science Academy Charter Hig",Charter,General Academic,High school,Open,231 PALMETTO STREET,-73.915217,40.695875
84K734,K734,The Ethical Community Charter School (TECCS),Charter,General Academic,Elementary,Closed,700 PARK AVENUE,-73.948166,40.697377
84K736,K736,New American Academy Charter School,Charter,General Academic,Elementary,Open,9301 AVENUE B,-73.914282,40.651642
84K737,K737,Brownsville Ascend Charter School,Charter,General Academic,K-8,Open,1501 PITKIN AVENUE,-73.918123,40.668608
84K738,K738,New Visions Charter High School for Advanced Math,Charter,General Academic,High school,Open,3000 AVENUE X,-73.936635,40.593157
84K739,K739,New Visions Charter High School for the Humanities,Charter,General Academic,High school,Open,3000 AVENUE X,-73.936635,40.593157
84K740,K740,Brooklyn Scholars Charter School,Charter,General Academic,K-8,Open,2635 LINDEN BOULEVARD,-73.867138,40.669356
84K741,K741,Success Academy Crown Heights (Brooklyn 7),Charter,General Academic,Elementary,Open,330 CROWN STREET,-73.949243,40.665757
84K742,K742,Explore Empower Charter School,Charter,General Academic,K-8,Open,188 ROCHESTER AVENUE,-73.928917,40.67271
84K744,K744,Coney Island Preparatory Public Charter School,Charter,General Academic,K-12 all grades,Open,501 WEST AVENUE,-73.972009,40.582518
84K744,K744,Coney Island Preparatory Public Charter School,Charter,General Academic,K-12 all grades,Open,501 WEST AVENUE,-73.972009,40.582518
17K745,K745,Brooklyn Institute for Liberal Arts,DOE,General Academic,High school,Open,600 KINGSTON AVENUE,-73.943839,40.658671
84K746,K746,Hebrew Language Academy Charter School,Charter,General Academic,K-8,Open,2186 MILL AVENUE,-73.914312,40.612258
23K747,K747,P.S. 747 A Great Start Academy,DOE,General Academic,Elementary,"Initiated, never opened",51 CHRISTOPHER AVENUE,-73.906018,40.672216
20K748,K748,P.S. 748 Brooklyn School for Global Scholars,DOE,General Academic,Elementary,Open,1664 BENSON AVENUE,-74.007469,40.606739
15K749,K749,Brooklyn High School For Young Men,DOE,General Academic,High school,"Initiated, never opened",362 SCHERMERHORN STREET,-73.979829,40.686147
17K751,K751,Academy for Health Careers,DOE,Career Technical,High school,Open,150 ALBANY AVENUE,-73.939282,40.675905
84K752,K752,Success Academy Fort Greene (Brooklyn 5),Charter,General Academic,Elementary,Open,101 PARK AVENUE,-73.976104,40.697177
75K753,K753,P.S. K753 - School for Career Development,DOE,Special Education,High school,Open,510 CLERMONT AVENUE,-73.969248,40.682576
84K756,K756,Success Academy Prospect Heights (Brooklyn 6),Charter,General Academic,K-8,Open,760 PROSPECT PLACE,-73.951559,40.673943
84K756,K756,Success Academy Prospect Heights (Brooklyn 6),Charter,General Academic,K-8,Open,760 PROSPECT PLACE,-73.951559,40.673943
84K757,K757,Unity Prep Charter School,Charter,General Academic,Secondary School,Open,432 MONROE STREET,-73.940859,40.686213
84K758,K758,Brooklyn Urban Garden Charter School,Charter,General Academic,Junior High-Intermediate-Middle,Open,500 19TH STREET,-73.982624,40.656202
84K759,K759,Canarsie Ascend Charter School,Charter,General Academic,Elementary,Open,9719 FLATLANDS AVENUE,-73.900432,40.643834
19K760,K760,Highland Park Community School,DOE,General Academic,Junior High-Intermediate-Middle,Open,528 RIDGEWOOD AVENUE,-73.869434,40.685852
18K763,K763,Brooklyn Science and Engineering Academy,DOE,General Academic,Junior High-Intermediate-Middle,Open,5404 TILDEN AVENUE,-73.925592,40.647851
19K764,K764,The Urban Assembly School for Collaborative Health,DOE,Career Technical,High school,Open,999 JAMAICA AVENUE,-73.869305,40.693002
16K765,K765,Nelson Mandela High School,DOE,General Academic,High school,Open,1700 FULTON STREET,-73.931604,40.678478
84K766,K766,The International Charter School of New York,Charter,General Academic,Elementary,Open,55 Willoughby Street,-73.986867,40.692434
84K769,K769,Hyde Leadership Charter School- Brooklyn,Charter,General Academic,Elementary,Open,330 ALABAMA AVENUE,-73.898249,40.667985
84K793,K793,Bushwick Ascend Charter School,Charter,General Academic,K-8,Open,751 KNICKERBOCKER AVENUE,-73.90892,40.693748
17K770,K770,P.S. 770 New American Academy,DOE,General Academic,Elementary,Open,60 EAST  94 STREET,-73.927979,40.663388
75K771,K771,P.S. K771,DOE,Special Education,K-12 all grades,Open,1075 OCEAN VIEW AVENUE,-73.955856,40.58026
84K772,K772,Success Academy Charter School - Bensonhurst - New,Charter,General Academic,Elementary,Open,99 AVENUE P,-73.984985,40.608135
84K774,K774,Achievement First Apollo Charter School,Charter,General Academic,K-8,Open,350 LINWOOD STREET,-73.884211,40.677112
84K775,K775,Leadership Preparatory Ocean Hill Charter School,Charter,General Academic,K-12 all grades,Open,51 CHRISTOPHER AVENUE,-73.906018,40.672216
84K777,K777,Ocean Hill Collegiate Charter School,Charter,General Academic,Junior High-Intermediate-Middle,Open,1137 HERKIMER STREET,-73.915106,40.678124
84K780,K780,Brooklyn East Collegiate Charter School,Charter,General Academic,Junior High-Intermediate-Middle,Open,832 MARCY AVENUE,-73.947873,40.684654
84K781,K781,Success Academy Charter School - Bergen Beach - Ne,Charter,General Academic,Elementary,Open,1420 EAST  68 STREET,-73.912914,40.620537
84K782,K782,Bedford Stuyvesant New Beginnings Charter School,Charter,General Academic,K-8,Open,82 LEWIS AVENUE,-73.937717,40.694676
84K784,K784,Achievement First North Brooklyn Prep Charter Scho,Charter,General Academic,Elementary,Open,200 WOODBINE STREET,-73.915159,40.693542
84K785,K785,Imagine Me Leadership Charter School,Charter,General Academic,Elementary,Open,818 SCHENCK AVENUE,-73.883469,40.660077
84K788,K788,Achievement First Linden Elementary School,Charter,General Academic,Elementary,Open,800 VAN SICLEN AVE,-73.885704,40.659934
84K789,K789,Compass Charter School,Charter,General Academic,Elementary,Open,300 ADELPHI STREET,-73.971474,40.688769
84K790,K790,Central Brooklyn Ascend Charter School,Charter,General Academic,Elementary,Open,465 EAST  29 STREET,-73.948982,40.638957
84K791,K791,Brooklyn Dreams Charter School,Charter,General Academic,K-8,Open,259 PARKVILLE AVENUE,-73.969887,40.632149
84K792,K792,The Cultural Arts Academy at Spring Creek Charter,Charter,General Academic,Elementary,Open,1400 LINDEN BOULEVARD,-73.908341,40.65452
84K796,K796,Lefferts Gardens Charter School,Charter,General Academic,Elementary,Closed,601 PARKSIDE AVENUE,-73.95381,40.656276
84K797,K797,New Hope Academy Charter School,Charter,General Academic,Elementary,Closed,475 EAST   57 STREET,-73.922733,40.643897
84K803,K803,Brooklyn LAB Charter School,Charter,General Academic,Junior High-Intermediate-Middle,Open,77 Sands Street,-73.987399,40.70043
84K807,K807,Collegiate Academy for Math and Personal Awareness,Charter,General Academic,Junior High-Intermediate-Middle,Open,1962-84 LINDEN BLVD.,-73.888775,40.65787
75K811,K811,P.S. K811 Connie Lekas School,DOE,Special Education,Secondary School,Open,2525 HARING STREET,-73.93861,40.591132
15K821,K821,Sunset Park Prep,DOE,General Academic,Junior High-Intermediate-Middle,Open,4004 4 AVENUE,-74.007596,40.652127
15K839,K839,M.S. 839,DOE,General Academic,Junior High-Intermediate-Middle,Open,713 CATON AVENUE,-73.973363,40.647598
84K876,K876,Achievement First Voyager Charter School,Charter,General Academic,Secondary School,Open,601 PARKSIDE AVENUE,-73.95381,40.656276
84K879,K879,Brooklyn Prospect Charter School Downtown,Charter,General Academic,K-8,Open,1104 FULTON STREET,-73.956832,40.681102
84K882,K882,Success Academy Charter School - Bushwick,Charter,General Academic,Elementary,Open,139 MENAHAN STREET,-73.919653,40.695975
84K883,K883,Success Academy Charter School - Bed Stuy 3,Charter,General Academic,Junior High-Intermediate-Middle,Open,787 LAFAYETTE AVENUE,-73.940749,40.691472
84K886,K886,Success Academy Charter School - Flatbush,Charter,General Academic,Elementary,Open,15 SNYDER AVENUE,-73.957501,40.64879
22K889,K889,P.S. 889,DOE,General Academic,Elementary,Open,21 HINCKLEY PLACE,-73.97101,40.644861
22K890,K890,M.S. 890,DOE,General Academic,Junior High-Intermediate-Middle,Open,21 HINCKLEY PLACE,-73.97101,40.644861
84K892,K892,Brooklyn Emerging Leaders Academy,Charter,General Academic,High school,Open,125 STUYVESANT AVENUE,-73.932254,40.691467
84K895,K895,Hebrew Language Academy Charter School 2,Charter,General Academic,Elementary,Open,1870 Stillwell Avenue,-73.986345,40.600808
15K896,K896,The School of Creativity and Innovation,DOE,General Academic,Elementary,Open,736 48TH STREET,-74.004306,40.643018
16K898,K898,The Brooklyn Green School,DOE,General Academic,Junior High-Intermediate-Middle,Open,130 ROCHESTER AVENUE,-73.928673,40.674491
19K907,K907,Legacy School of the Arts,DOE,General Academic,Junior High-Intermediate-Middle,Open,590 SHEFFIELD AVENUE,-73.894877,40.662243
84K910,K910,Cypress Hills Ascend Charter School,Charter,General Academic,Early Childhood,Open,396 GRANT AVENUE,-73.867071,40.681183
84K911,K911,Edmund W. Gordon Brooklyn Laboratory Charter Schoo,Charter,General Academic,Secondary School,Open,77 Sands Street,-73.987399,40.70043
84K912,K912,Key Collegiate Charter School,Charter,General Academic,Elementary,Open,250 BLAKE AVENUE,-73.910292,40.665264
84K912,K912,Key Collegiate Charter School,Charter,General Academic,Elementary,Open,250 BLAKE AVENUE,-73.910292,40.665264
13K915,K915,I.S. 915,DOE,General Academic,Junior High-Intermediate-Middle,Open,105 TECH PLACE,-73.986105,40.695444
13K915,K915,I.S. 915,DOE,General Academic,Junior High-Intermediate-Middle,Open,105 TECH PLACE,-73.986105,40.695444
84K927,K927,Ivy Hill Preparatory Charter School,Charter,General Academic,Elementary,Open,475 EAST   57 STREET,-73.922733,40.643897
84K928,K928,Brooklyn Prospect Charter School 15.2,Charter,General Academic,Junior High-Intermediate-Middle,Open,3002 FORT HAMILTON PARKWAY,-73.97872,40.647893
84K929,K929,East Brooklyn Ascend Charter School,Charter,General Academic,Junior High-Intermediate-Middle,Open,396 GRANT AVENUE,-73.867071,40.681183
84K930,K930,LEEP Dual Language Academy,Charter,General Academic,Elementary,Open,5323 5 AVENUE,-74.012089,40.642877
84K933,K933,Lefferts Gardens Ascend Charter School,Charter,General Academic,Elementary,Open,870 ALBANY AVENUE,-73.939706,40.652671
84K934,K934,East Flatbush Ascend Charter School,Charter,General Academic,Elementary,Open,870 ALBANY AVENUE,-73.939706,40.652671
84K937,K937,Brooklyn RISE Charter School,Charter,General Academic,Elementary,Open,473 53 STREET,-74.01214,40.643747
20K971,K971,"School of Math, Science, and Healthy Living",DOE,General Academic,Elementary,Open,6214 4TH AVENUE,-74.020343,40.639518
02M001,M001,P.S. 001 Alfred E. Smith,DOE,General Academic,Elementary,Open,8 HENRY STREET,-73.997478,40.71255
