system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,Status_descriptions,primary_address_line_1,lon,lat
14K049,K049,J.H.S. 049 William J. Gaynor,DOE,General Academic,Junior High-Intermediate-Middle,Closed,223 GRAHAM AVENUE,-73.9436,40.71
14K050,K050,J.H.S. 050 John D. Wells,DOE,General Academic,Junior High-Intermediate-Middle,Open,183 SOUTH  3 STREET,-73.960137,40.711915
15K051,K051,M.S. 51 William Alexander,DOE,General Academic,Junior High-Intermediate-Middle,Open,350 5 AVENUE,-73.98505,40.672358
22K052,K052,P.S. 052 Sheepshead Bay,DOE,General Academic,Elementary,Open,2675 EAST  29 STREET,-73.940135,40.588372
75K053,K053,P.S. K053,DOE,Special Education,K-12 all grades,Open,544 7TH AVENUE,-73.988743,40.660805
13K054,K054,P.S. 054 Samuel C. Barnes,DOE,General Academic,Elementary,Open,195 SANDFORD STREET,-73.952504,40.692616
23K055,K055,I.S. 055 Ocean Hill Brownsville,DOE,General Academic,Junior High-Intermediate-Middle,Closed,2021 BERGEN STREET,-73.9133,40.6741
13K056,K056,P.S. 056 Lewis H. Latimer,DOE,General Academic,Elementary,Open,170 GATES AVENUE,-73.960536,40.684286
16K057,K057,Whitelaw Reid Academy of Arts and Business,DOE,General Academic,Junior High-Intermediate-Middle,Open,125 STUYVESANT AVENUE,-73.932254,40.691467
15K058,K058,P.S. 058 The Carroll,DOE,General Academic,Elementary,Open,330 SMITH STREET,-73.995486,40.680379
14K059,K059,P.S. 059 William Floyd,DOE,General Academic,Elementary,Open,211 THROOP AVENUE,-73.943279,40.697619
17K061,K061,M.S. 061 Dr. Gladstone H. Atwell,DOE,General Academic,Junior High-Intermediate-Middle,Open,400 EMPIRE BOULEVARD,-73.949198,40.663605
20K062,K062,J.H.S. 062 Ditmas,DOE,General Academic,Junior High-Intermediate-Middle,Open,700 CORTELYOU ROAD,-73.971153,40.638087
19K065,K065,P.S. 065,DOE,General Academic,Elementary,Open,696 JAMAICA AVENUE,-73.878353,40.686534
