,complex_id,nearest_accessible_neighbor
0,440a,0.015019061672589396
1,439a,0.008015688115700612
2,438a,0.03752449537162126
3,601a,0.015525462317062385
4,603a,0.00922257623542029
5,428a,0.014268889687972028
6,321a,0.011555756547581066
7,420a,0.007051360976116581
8,419a,0.005856468368282959
9,320a,0.007794183014839457
10,418a,0.017639470351624487
11,319a,0.003911501449008995
12,434a,0.00922257623542029
13,318a,0.006071632594507723
14,316a,0.006795863807081647
15,614a,0.005200542900820989
16,314a,0.005018694140741966
17,313a,0.018228050592554716
18,312a,0.005852876406992816
19,311a,0.006557183132140898
20,310a,0.018228050592554716
21,423a,0.008294630846763514
22,617a,0.015243811480575404
23,339a,0.004377906638126902
24,357a,0.005769206667344047
25,620a,0.015243811480575404
26,425a,0.008469108072161594
27,422a,0.006644514290531841
28,325a,0.007958609917471727
29,441a,0.01875607775278449
30,327a,0.006634070404834808
31,323a,0.019037773225564023
32,356a,0.018119646309017245
33,334a,0.005250975855545189
34,426a,0.016413184745537924
35,341a,0.018195979435828274
36,359a,0.018119646309017245
37,626a,0.021700617502909438
38,326a,0.004517743246005118
39,429a,0.006152588262948889
40,628a,0.006634070404834808
41,340a,0.007482938227360742
42,421a,0.017639470351624487
43,324a,0.013354839757289287
44,336a,0.00561257507241373
45,431a,0.003996959810148276
46,433a,0.010097843490565535
47,417a,0.005978126217630667
48,337a,0.00482669622841777
49,358a,0.007188983206563175
50,624c,0.002469283418084934
51,424a,0.016413184745537924
52,353a,0.01706064922250393
53,432a,0.009800237284413742
54,430a,0.02597106746449006
55,354a,0.011980213588468222
56,611b,0.006071632594507723
57,416a,0.012045556249546563
58,333a,0.0036235144628420906
59,427a,0.006819166605410735
60,355a,0.005832126163297188
61,602b,0.014015941166801453
62,14a,0.005560300318445973
63,13a,0.00425912801978311
64,3a,0.004697678378178828
65,607b,0.005103098409847984
66,5a,0.01798016239677677
67,6a,0.022718705085978487
68,10a,0.005786314635010189
69,8a,0.007386813121981784
70,9a,0.005899207709873349
71,16a,0.005754654761518372
72,1a,0.007856360804914756
73,2a,0.06287325953375636
74,4a,0.01156581132558399
75,623d,0.012912768302275076
76,20a,0.0049804146444219965
77,624b,0.032667554456512794
78,613b,0.013483162749967852
79,17a,0.013585480476976412
80,22a,0.0033253950359328484
81,611d,0.005103098409847984
82,635b,0.0076054288246754425
83,31a,0.030219254546343707
84,32a,0.029683325934896126
85,272a,0.008671276151529916
86,33a,0.010928245052890395
87,270a,0.024278804287378414
88,34a,0.0053424024080913814
89,35a,0.021432752763741215
90,263a,0.01895267893415242
91,268a,0.008136779079028818
92,262a,0.00968183637540438
93,37a,0.007623225522245372
94,38a,0.006551695352491194
95,608b,0.01595070028435672
96,515a,0.02890016548396266
97,523a,0.010758543338845359
98,617c,0.007584315389663935
99,39a,0.006551695352491194
100,36a,0.00843220218775288
101,512a,0.01538624791819208
102,504a,0.022540677052726714
103,620c,0.006079818580310594
104,26a,0.007925799456734198
105,507a,0.05931077482211699
106,266a,0.010159027884647056
107,514a,0.014745580388758216
108,261a,0.05301719012619384
109,265a,0.017110963679357428
110,509a,0.016823627789502287
111,505a,0.018645316650651052
112,513a,0.0668894566055927
113,516a,0.04404547960919396
114,616b,0.051148188063241264
115,636b,0.004577210371363339
116,508a,0.008954332359187056
117,510a,0.026120117936119205
118,269a,0.016048363849539688
119,511a,0.028663267120073176
120,506a,0.011676363004022793
121,518a,0.024760016245095207
122,517a,0.04279018748447944
123,30a,0.023040733160646896
124,273a,0.04590121574842655
125,519a,0.013129559118295756
126,501a,0.05931077482211699
127,503a,0.01590569866420998
128,271a,0.018468078217710467
129,502a,0.006902699834016869
130,522a,0.010758543338845359
131,28a,0.007668930501706135
132,264a,0.025667940628231783
133,41a,0.008366905586752658
134,477a,0.008788009647574877
135,476a,0.007923656429646875
136,475a,0.007923656429646875
137,617b,0.007925799456734198
138,48a,0.020937902444601298
139,49a,0.00426604618741796
140,50a,0.008910273896106257
141,52a,0.009501276153196415
142,45a,0.01496808934992848
143,55a,0.031154363199308702
144,623c,0.02003892731044926
145,44a,0.011172677290138952
146,58a,0.06700812500751525
147,46a,0.011949784456778065
148,51a,0.0531790275512755
149,223a,0.013960724524881224
150,53a,0.013555238888471191
151,47a,0.026499826994878843
152,56a,0.012771835826385977
153,43a,0.006585814458308156
154,42a,0.02720239888736959
155,54a,0.022374650110773397
156,57a,0.005423472672112421
157,74a,0.007215226897631601
158,75a,0.014133886534412669
159,71a,0.009019637919951773
160,79a,0.015486706637681195
161,78a,0.020070702798919437
162,76a,0.019787716842759987
163,72a,0.007131745914086608
164,77a,0.02621601803299728
165,615b,0.018235127272994287
166,119a,0.009754573806235196
167,118a,0.004416166476985315
168,601c,0.0052387024798122815
169,618b,0.012920515099203419
170,133a,0.013549298719730984
171,120a,0.028570282906836383
172,621c,0.010444211127225803
173,131a,0.006145669980488596
174,138a,0.04226550644696309
175,127a,0.008395142055947314
176,137a,0.004455978005063972
177,122a,0.012983583105777732
178,123a,0.01710969850458357
179,129a,0.006651504193023978
180,126a,0.013907391349972839
181,135a,0.01745117194358264
182,629a,0.0071274298164501265
183,124a,0.01950321200876632
184,125a,0.02315591111155942
185,630a,0.012715963331199284
186,136a,0.012527973306418068
187,134a,0.019827038254002227
188,602c,0.009754573806235196
189,130a,0.012715963331199284
190,82a,0.007756035542190236
191,80a,0.02034452422093362
192,85a,0.015426054012836745
193,103a,0.011888654135892289
194,107a,0.004722367268218589
195,621b,0.054169980775608355
196,623b,0.006101092711272739
197,622b,0.005553712827545421
198,93a,0.053881547960543556
199,87a,0.024288785221990475
200,625b,0.01678220486906299
201,628d,0.004722367268218589
202,95a,0.04032591426391494
203,278a,0.007110907637276491
204,101a,0.04583215174896226
205,97a,0.024867870632614975
206,88a,0.030145901635176414
207,279a,0.007110907637276491
208,90a,0.042595117473842266
209,83a,0.04455069073750969
210,395a,0.016762187586507462
211,394a,0.011288942358867305
212,393a,0.006821553831595585
213,392a,0.044566941170275966
214,391a,0.0059873090890408985
215,602a,0.02165237494239197
216,603b,0.010070176447703185
217,604a,0.010070176447703185
218,388a,0.008474001094519576
219,387a,0.014238048668007713
220,385a,0.017914404326892445
221,383a,0.005236301129067437
222,405a,0.00396618932452196
223,404a,0.00396618932452196
224,403a,0.0037220239526569348
225,612a,0.007145708787233825
226,613a,0.013834214677845753
227,399a,0.013658391381943375
228,398a,0.00678140704200193
229,397a,0.03051631420720421
230,396a,0.021706587572996
231,407a,0.005478595885967399
232,380a,0.015260791155955349
233,619a,0.009011156251496573
234,620b,0.014917388139876819
235,414a,0.007070156096220001
236,622a,0.0069593474712132475
237,384a,0.011473665521862709
238,623a,0.0069593474712132475
239,345a,0.0314381584088379
240,382a,0.04246512028028283
241,628b,0.0060163672200627925
242,610a,0.047462682796313854
243,349a,0.030956646634694433
244,381a,0.006282630418805009
245,344a,0.00924093035132358
246,379a,0.02356846227282195
247,386a,0.019588593772809942
248,352a,0.04889444648671936
249,343a,0.013953815645764563
250,350a,0.03828482754729055
251,348a,0.02480369995380711
252,347a,0.018196625813401528
253,409a,0.004383937955322713
254,346a,0.011230924229478119
255,351a,0.04366497175753583
256,413a,0.0034045221319064668
